"chargeback_id","original_transaction_id","card_number_masked","cardholder_name","merchant_name","merchant_id","transaction_amount","transaction_currency","transaction_date","chargeback_date","chargeback_reason_code","chargeback_reason_description","investigation_status","investigator_id","representment_deadline","representment_submitted","representment_date","final_decision","final_decision_date","notes"
"CB-001-2024-01","TX-7845123","9142","Amanda Hughes","BestBuy San Francisco","M-238947","129.99","USD","2024-01-12T13:28:15","2024-01-14T09:17:35","FR01","Unauthorized transaction reported by cardholder","pending","INV-1001","2024-01-30","false","","pending","","Cardholder claims card was stolen prior to purchase."
"CB-002-2024-01","TX-7845124","2754","Michael Chen","Uber Technologies","M-239001","22.5","USD","2024-01-07T21:44:51","2024-01-09T10:10:00","NR02","Goods or services not received","in_review","INV-1002","2024-01-28","true","2024-01-15T15:32:17","cardholder_won","2024-01-22T09:00:00","Merchant unable to provide evidence of completed ride."
"CB-003-2024-01","TX-7845125","5661","Elena Garcia","Amazon UK","M-239002","59.99","GBP","2024-01-04T16:00:31","2024-01-08T11:48:20","FR01","Suspected fraudulent transaction","resolved","INV-1003","2024-01-23","false","","chargeback_accepted","2024-01-20T12:30:00","Cardholder confirmed no knowledge of purchase."
"CB-004-2024-01","TX-7845126","7317","Rajesh Kumar","Starbucks India","M-239003","3.75","INR","2024-01-06T08:41:19","2024-01-07T13:59:22","NR03","Cardholder claims incorrect amount charged","pending","","2024-01-21","false","","","","Merchant to provide receipt for verification."
"CB-005-2024-01","TX-7845127","8821","Linda Nielsen","Zalando SE","M-239004","94.2","EUR","2024-01-10T17:22:05","2024-01-12T13:08:59","FR02","Suspicious activity detected","in_review","INV-1004","2024-01-29","false","","","","High-value order flagged by issuer."
"CB-006-2024-01","TX-7845128","4902","Grace Lee","Target Stores","M-239005","45.67","USD","2024-01-09T13:05:00","2024-01-11T10:45:11","NR02","Merchandise not received","resolved","INV-1005","2024-01-25","true","2024-01-13T11:02:35","merchant_won","2024-01-17T13:45:00","Tracking info provided, delivery confirmed."
"CB-007-2024-01","TX-7845129","1903","Aaron Smith","Walmart Canada","M-239006","31.49","CAD","2024-01-14T19:20:49","2024-01-15T09:21:30","NR03","Incorrect item delivered","reversed","INV-1006","2024-01-31","true","2024-01-20T14:15:17","chargeback_reversed","2024-01-27T11:00:00","Merchant replaced item after investigation."
"CB-008-2024-01","TX-7845130","6018","Nina Johansson","H&M Sweden","M-239007","78","SEK","2024-01-02T10:15:00","2024-01-05T08:59:46","FR01","Cardholder claims not present at time of purchase","in_review","INV-1007","2024-01-20","false","","","","Dispute under review."
"CB-009-2024-01","TX-7845131","4126","Lucas Brown","Etsy Marketplace","M-239008","14.95","USD","2024-01-13T13:55:12","2024-01-15T10:17:23","NR02","Digital product not delivered","pending","","2024-01-28","false","","","","Awaiting merchant response."
"CB-010-2024-01","TX-7845132","3874","Julia Fischer","Lidl Germany","M-239009","25.1","EUR","2024-01-03T17:33:44","2024-01-06T09:00:00","NR04","Service not as described","resolved","INV-1008","2024-01-19","true","2024-01-10T10:30:00","merchant_won","2024-01-15T15:00:00","Evidence supports merchant claim."
"CB-011-2024-01","TX-7845133","6631","Victor Nguyen","Sainsbury's London","M-239010","52.75","GBP","2024-01-09T09:24:00","2024-01-11T10:45:00","NR03","Overcharged for groceries","in_review","INV-1009","2024-01-27","false","","","","Receipt requested for verification."
"CB-012-2024-01","TX-7845134","2347","Isabella Rossi","Carrefour France","M-239011","63","EUR","2024-01-08T13:10:10","2024-01-10T09:30:00","FR01","Cardholder claims transaction is fraudulent","pending","","2024-01-23","false","","","","Cardholder reported lost card."
"CB-013-2024-01","TX-7845135","7832","Daniel Evans","Apple Store","M-239012","999.99","USD","2024-01-05T15:42:01","2024-01-08T14:17:00","FR02","High-value purchase flagged as suspicious","in_review","INV-1010","2024-01-24","false","","","","Issuer investigation ongoing."
